feature,importance,wasserstein_distance_training,wasserstein_distance_eval,wasserstein_distance_all_visits
C25,0.0014536552141888,-0.10992667047044148,-0.10675230525867319,0.12281831199023197
R79,0.001452930597885,0.4316387693773354,0.3489568798055933,0.4112638306420395
R74,0.0014390764426704,0.4320069903924737,0.4043058203679392,0.4057346008999085
Z99,0.0013793429455539,0.42377585229894243,0.41370091222690886,0.5057764416797738
R26,0.0013789106295028,0.36994984572038964,0.4038130198771559,0.3409747456393438
I49,0.0013636266767403,0.07041249280854026,0.19864803464084294,0.16696956661102272
E03,0.0013299674891852,0.33732208563853106,0.2909426823969399,0.35167727046323005
K59,0.0013282105652831,0.39175989344327283,0.3370160629019621,0.3107970973060795
K40,0.0012999930462282,0.27093061624973713,0.1974690164041575,0.25635237313404846
J44,0.0012679672944553,0.40171880926031556,0.3799621277839009,0.4712653325983342
R93,0.0012556230626044,0.196975597965158,0.2021344820220501,0.24905035963785752
I51,0.0012471953594318,0.36257625996593246,0.3789194393223546,0.40389883073116295
Q21,0.0012251654585764,-0.09431770136889793,0.11258601695965503,0.13466775268799352
G47,0.0012174768478943,0.3984308318983152,0.3590288588139519,0.43167920329372345
I65,0.0012146044390314,0.10783766959321371,0.15642395025594752,0.2565927227257202
G89,0.0012010765563932,0.08638770557928704,0.14975273993797272,0.15468185292223266
C90,0.0011939744171773,0.1421541982877139,0.0864924321831214,0.141910490764363
W19,0.0011885233947347,0.3342294017707001,0.33498736429301984,0.30188822065157966
D64,0.0011875905348072,0.3462591375460444,0.34817370317489027,0.3522427580993214
Z17,0.0011850276792772,-0.1442260439523215,-0.0994335704410527,0.05756857735839778
I27,0.0011608065212769,0.31288588729228645,0.28046491678533964,0.353383111456632
I71,0.0011560948427726,0.12204044094133858,0.10885830839677373,0.23291667523285262
R29,0.0011410923303552,0.3866102805288976,0.36386026997316606,0.3246443514763661
I67,0.0011138870109913,0.12858472838786786,0.1831199889461801,0.13711662695087398
D50,0.0011037095607773,0.16869337586267855,0.14424462333412738,0.19397362488440267
Z71,0.0010934537679328,0.2226177278546817,0.26398973522796737,0.27531785279158255
R60,0.0010722086804551,0.25646846302726295,0.3194101175964245,0.3220425777441751
Z93,0.0010682575778349,0.42301403699984585,0.3683679512053336,0.41921235996481054
Z3A,0.001057569510192,0.11033196403808013,0.19630719242447614,0.18474914380646945
I20,0.0010387191590797,0.267314618246271,0.2620755239298357,0.3375782669256492
I26,0.0010122961099088,0.3890293807597987,0.32534803746250324,0.3919308046356038
C34,0.0010081459348416,0.05930744679304148,-0.13749657002807228,0.12029723346651713
D69,0.0010064720562902,0.28111891141450485,0.32458261745529216,0.2858441128104658
T45,0.0009968371578904,0.17138204977277083,0.19144662600708312,0.2990992394785593
D63,0.0009927892039509,0.3308726612204455,0.26675283320035464,0.40486797127511837
R21,0.0009847624860896,0.21438837953675569,0.22977832614472127,0.22900932795474324
R63,0.0009556497109621,0.3290599464957666,0.3028585567184332,0.35251385512373834
D57,0.0009524357039589,0.08886214841796784,0.13091930035584826,0.14652807528502063
J98,0.0009346816547393,0.28579670950632413,0.31868770743770186,0.3500625661388377
G44,0.0009228482847302,0.18242990360519673,0.21014778278546314,0.26215862028012565
Z09,0.0009064089622016,0.23740839554385446,0.17209200063327246,0.24693391105821724
R68,0.0008840570388567,0.45093227684599235,0.3356351948758602,0.37712969119820083
N60,0.0008727419691198,0.1385076260442069,-0.16197270667465496,0.12799915581174426
C18,0.0008720462116719,-0.07653661352472067,0.11447571818332322,0.1276190715069651
F32,0.0008716744714773,0.29875379120580303,0.3144084869943052,0.33535020973011703
G43,0.0008664283530233,0.21827157372552305,0.16131793373747275,0.24166401322881997
R13,0.0008534211658909,0.405150029107743,0.3927866991343978,0.25563767268143633
AMERICAN INDIAN OR ALASKA,0.000848766247923,0.0527214062577775,-0.07125909225222005,0.04584780542052407
D49,0.0008418199056658,0.2924070534396309,0.19414290282503074,0.23819378247040204
R20,0.0008227797620735,0.3067294749233889,0.192958024388712,0.26290080645981734
E86,0.0008173756625264,0.3780288408754094,0.3588499886047303,0.38462409040209555
C67,0.0008041245004567,0.046822945950235936,-0.11246843418926201,0.13035283975163
Z91,0.0008001748639347,0.32827725424390786,0.3419917429203366,0.2899144643594608
Z87,0.0007893658765792,0.2767689230636778,0.2500298771551617,0.22763564733709984
C49,0.0007871597458745,-0.07990116383502698,0.04447943685142835,0.05982812127505913
K21,0.0007834744886928,0.27277495630611176,0.2749720994303822,0.28149195801557486
R23,0.0007740697910415,0.34774759376997155,0.30269086511922366,0.3572541927544345
N40,0.0007719486296186,0.34304888554838564,0.28882516830464633,0.284260318425872
Z67,0.0007620458716595,0.32228128961739233,0.26205047394056064,0.3171180467536749
C83,0.0007603515365705,0.19712793237102852,0.18056688383839326,0.23040349839400576
F17,0.0007556252613687,0.20195606494391657,0.35240160314182845,0.35170716031243204
K76,0.000749542390648,0.2606967237331441,0.22057460448251806,0.25815310097521604
I44,0.0007478415410941,0.1693034885799082,0.11829675064581156,0.18294607758275458
E55,0.0007369044106289,0.3401126440577205,0.32753600033226876,0.38661382176723275
C84,0.0007360770513759,-0.24626611810835916,0.1252300896585504,0.07428158688818018
O99,0.0007346122071627,0.17396482677731273,0.10946472238437659,0.19791103226389944
Z76,0.0007284234943937,0.2326451448053785,0.2622200798240419,0.3129220959321433
I21,0.0007259535497239,0.4019961790517523,0.4022922669360673,0.4335882850407978
D61,0.0007185650987445,0.20878614807409973,0.3487304651592826,0.3453805828607591
M32,0.0006934333984078,0.12217349587195044,0.24504099458197856,0.249035504195766
R51,0.0006890856325072,0.09637090303137122,0.17780555764848643,0.18831404626345938
N28,0.0006882175222767,0.13592988941877085,0.2437309802700788,0.2232516843744785
M81,0.0006848626067104,0.14042667642608725,0.21046588075196282,0.15907622065209792
C79,0.0006818678361922,-0.05873672788140469,0.09803977548555486,0.11107832827932161
G56,0.0006801440413927,0.05381257983863129,0.144626910724356,0.06853177617681196
C71,0.0006786995212871,0.07628283864533195,-0.054443068845605694,0.0815976366071869
K83,0.0006703074874879,0.1598870921741859,0.31547991393914376,0.2879074012797025
M41,0.0006687955586272,-0.16867116661430015,-0.15782791021741774,0.04952550828099767
K86,0.0006675772393755,0.1925050833056023,0.13384724252963448,0.22288567094242914
R56,0.0006671930731637,0.30670851411012223,0.25769982311925577,0.24519083370857597
R92,0.000665748754609,-0.11608054409793989,-0.18602792439307655,0.06549791021543275
D89,0.0006627214422157,0.3452236608092309,0.35497601821134495,0.46354455795788807
R04,0.0006622743214538,0.32489555803043635,0.3059427137940852,0.20712327988310042
R65,0.0006381280239886,0.44238246639685425,0.46467862663959036,0.6183497324068794
G40,0.0006349415198666,0.20019544398641564,0.20654266675671523,0.17696413443708728
J15,0.0006323266964066,0.49311323879062297,0.4800319610081656,0.6182387340315746
D68,0.0006296054472799,0.3022614393238865,0.34055501053793663,0.2793618334603714
R78,0.0006193707082603,0.46659831870776997,0.3827814060873441,0.4936670206296555
G12,0.0006169003817094,-0.2101567447025442,-0.1416220517859548,0.09418414297910561
I77,0.0006099505315324,0.13004794446954362,0.17126422412167303,0.2507532427866712
N30,0.0006078991868703,0.2663917378723508,0.21856196284090101,0.2670719956100434
K70,0.0006069722761488,0.3160792715067762,0.2984938834735328,0.3644097211154689
Z13,0.0006032830214489,0.07736247105499042,0.18511357482320628,0.14141179724114114
R01,0.0005996132221247,0.11505546651396766,0.15449949314330855,0.21135758113425854
C61,0.0005993888936816,-0.07967774092426973,0.0641986215629434,0.09152279959384041
Z0000,0.0005965947727717,-0.14476234040466007,-0.21825398286431838,0.07319702004684416
C22,0.000595433941006,0.17567540784939173,0.16799074106419215,0.21400659920992612
E83,0.0005889401366997,0.21997969306973128,0.2763504584958598,0.28454373954538636
O26,0.000587030778557,0.21747323914955477,0.21006558862049032,0.19268688027324435
Z92,0.0005780286114946,0.3409358630843628,0.29172539373727185,0.2898433916004565
I45,0.0005755892838624,0.20723668139925477,0.1139435738315269,0.17608249183432623
K50,0.0005710278556837,0.09682698251174723,0.09037179959154125,0.11587598681700216
I05,0.0005692108419087,-0.12076459183821613,0.22509138678528054,0.25847757127056564
I36,0.0005684476786363,0.37056775386307217,0.2829769270165626,0.3860073524185878
D70,0.0005643371925028,0.14743849339074702,0.28757311000784963,0.29954086647120837
F20,0.000563149988234,0.3223934649014578,0.3432041543831599,0.27887296288412217
R82,0.0005627454692006,0.2405403307733872,0.1746184516823008,0.25636657763124393
R97,0.0005604191769986,0.19931300443436406,0.2618377251072697,0.23175508847986717
O24,0.0005593848742789,0.05674917055329684,-0.11894990292414756,0.12212980058977502
I11,0.0005592216082535,0.07755627943557898,0.3503232372911396,0.37143198197086974
F10,0.0005565402165206,0.15832972393225891,0.26471568092018966,0.2106968371989579
M19,0.0005509124151778,0.2598834027258817,0.24497365239248856,0.15564888232890695
O28,0.0005489148540254,0.08139937065289977,0.1858665925181895,0.16357057801254743
Z68,0.0005386844139617,0.35816548628091666,0.3541276880583271,0.3674664138840894
M48,0.000536236291798,0.22042361514834644,0.22346903621176376,0.13497900793669287
N20,0.0005301365788513,0.04159918664785059,0.03585656141210248,0.05604072095339166
F19,0.0005293421667048,0.22106205049943625,0.12857606003399463,0.23769918959562883
R87,0.0005258734384125,0.355843089168553,0.22910641961486172,0.300651719815392
J95,0.0005134171359013,0.4610928528845487,0.37851081165258676,0.4301809780143179
I46,0.0005132365997799,0.31989137355033775,0.3700825253671644,0.3720098865125772
B96,0.0005130349579821,0.47458362050900815,0.4434890465101112,0.4187497693811168
Z96,0.0005121569482016,0.12326846602968476,0.16739822618909758,0.035450474061560266
D86,0.00050842681538,0.19591246883408112,0.19233460797635085,0.24645696817200818
I70,0.0005049701114613,0.1709543591540192,0.1867240306696952,0.22656104292973214
J90,0.0005042656432302,0.39755116983001076,0.39476517532910826,0.3988014103422816
Z11,0.0005040508706527,0.22952779459483516,0.2543144003854356,0.30512520238432034
M06,0.000503164442278,0.2885113262317091,0.22020534088927063,0.28930452450574157
Z33,0.0005006597226926,0.12453325751817192,-0.09468338342994276,0.09683839303255702
O35,0.000500569527103,-0.13636123226946534,-0.19629949533770702,0.09916032200165958
R16,0.0004899621280706,0.35788533240121345,0.2932493746347531,0.27379853846869906
R33,0.0004851563798427,0.3390583581461552,0.35307487167383256,0.25677672537059504
K51,0.0004837282351605,0.22792356421967763,0.1361894661089658,0.1527913684562705
R76,0.000478472394235,0.18373639155863913,0.27086570460760806,0.26804606675084003
M17,0.0004758361119527,0.11269079404720853,0.03515771471446744,0.02881529375276782
G95,0.0004702793956599,0.252395588345922,0.2395223050806263,0.21531063748340976
C69,0.0004658712200491,0.1679717993342715,-0.16460496035949349,0.11980612702788454
R18,0.0004512753476111,0.18632505465913357,0.25498801982524605,0.3101644507046856
J30,0.0004470021042022,0.247742374450143,0.32155205890268584,0.3594147896181394
J93,0.0004465985517427,0.4249222989534643,0.4271635146300323,0.4220565183287124
R77,0.0004434637749639,0.4569307558629253,0.4421315638716048,0.49102757664756436
L29,0.0004420685522569,0.26152837133112206,0.2154595874467941,0.2819199984137956
J11,0.0004416186690467,0.10058329042667236,0.4894896023371255,0.12653168482939192
O48,0.0004370334811081,0.2686802575039655,-0.19994256587516723,0.2568558780722261
K57,0.0004366580925847,0.31820920334940844,0.29758824516746973,0.25981741224836
B95,0.0004365297451723,0.39979885647411406,0.40998511455371484,0.4406353738945656
K92,0.000436014577077,0.3965158706474017,0.33729974079155994,0.3465091871408603
R52,0.0004327992710778,0.4528520478728718,0.25601004713079245,0.2686571754850622
B25,0.0004303789857366,0.3886562044471085,0.4291147451415193,0.48979176701191046
O14,0.0004287373501098,0.11027251489622746,0.18822443360018218,0.18075871154763373
B20,0.0004285382691179,0.40845802449559665,0.24976730427564162,0.3692576106445108
H33,0.0004215050623531,0.3349130657333034,0.17844475431293022,0.1869699989870133
J43,0.0004195765219622,0.17838879451171846,0.25806051405294334,0.39608004316315587
M34,0.0004193299834427,0.1866359548873564,0.31441258064568256,0.36299805845796335
M47,0.0004178700235039,0.11855244625158468,0.08771889487929643,0.09606030149147686
N13,0.0004178370948674,0.10587510205909374,0.2359503790853371,0.15159024578766692
J32,0.000410293235112,0.16267526479595554,0.277899567385981,0.2645929277420037
I31,0.0004048737297446,0.28179378865543137,0.3625907042179486,0.3316726925712528
F25,0.0004047143211371,0.17166317651234508,0.26847540623647553,0.265529189206482
D3A,0.0004004566972458,0.20031182409655338,0.2745681305534009,0.13011746696574655
Z37,0.0003988079087042,0.22955031285039912,0.22280467675026672,0.304348860653749
C16,0.000396516310852,0.14227197255089366,0.05482905448932263,0.1316837221778733
Z97,0.000394869880076,0.40355892326647524,0.42595197008867147,0.34105568626349414
R40,0.0003900655360969,0.4763773990763492,0.42685072382515415,0.45237998537952046
A09,0.0003870042896208,0.34922439934750993,0.4538251799650031,0.38155768724867223
T84,0.0003855825987803,0.09383091110456222,0.14353036745346043,0.1056723299626283
N95,0.0003815327663128,0.15193318056571517,0.20553064929543494,0.1651376525100505
L03,0.0003699763697542,0.29933570853325553,0.19748418278858346,0.23102751167790742
N05,0.0003693088451998,-0.16889472900217584,0.18843545624925587,0.34256948349173555
E04,0.0003686513216835,0.09620691477545083,0.08425177719660568,0.11066069825195064
F03,0.0003678762324036,0.4518464214759794,0.4429426369631257,0.4189189201416778
B33,0.0003668203493756,0.25406179720336697,0.2532744025358185,0.34659346436142896
C21,0.000361506721791,0.22841576387150014,0.15399910405648704,0.13070948231981352
K62,0.000360232518556,0.14289063519429407,0.19442310208214547,0.1628372588586784
C78,0.000353521989075,0.08494100416125365,-0.07416949670664977,0.12535890177502318
R45,0.0003528278025679,0.26190238267243576,0.25337493494523167,0.23285615336663484
N93,0.0003526540020996,0.0629968447582582,-0.1310017857637474,0.09615838093101631
Z36,0.0003483360690772,-0.10008435968082022,0.16265882208893678,0.15865787836235795
Z85,0.0003469503000796,0.04576520509093336,0.14870431685938493,0.14984791957403504
N87,0.0003468273042448,0.2178386517036482,-0.4426904073547184,0.2229447079639654
O34,0.0003464412355847,0.07727228660943797,0.17539562436111533,0.12993779107267156
C85,0.0003457087322517,0.060383488055163054,0.11890747034582769,0.14805554993918754
D32,0.0003451438297219,0.17152471057747984,0.25564707901992945,0.1587142819336537
C64,0.0003443430994673,0.05423900296777606,-0.195074284298709,0.08477625136276544
J02,0.0003429271261496,0.11507252631886368,0.21263981131178758,0.14269490723057093
S09,0.0003414609129652,0.15588206649887915,0.14508778462476501,0.15450112174854846
R31,0.0003382456654792,0.3399220135740294,0.221975569449464,0.18470981203319492
R03,0.0003360400287416,0.223014528861051,0.26322582075283796,0.29248432601776353
A60,0.0003335121221558,0.36606670414530645,0.3579310526924536,0.3420597716836435
L40,0.0003331243015606,0.06188298870270222,0.15130298005270867,0.16340051115555235
K63,0.0003330336029603,0.20406722717542278,0.28892468457691534,0.2397403565322039
I15,0.0003279822537559,0.33636841223712466,0.2941288673124627,0.3961792298354273
B18,0.0003259693056732,0.3885410844618784,0.305204874910125,0.3129851610350279
K80,0.0003253845838243,0.32014204542795066,0.14309745856721567,0.22018850022694728
D21,0.0003222172855072,-0.09575502857522965,0.08819109911988937,0.03408601819528205
E13,0.0003167533587939,0.42920228286895273,0.38385302700978974,0.4043146528250696
Z32,0.000311056935661,0.0818814893651349,-0.1824808204308463,0.14349745684181747
R30,0.0003072196978919,0.26952115011555383,0.150168031657607,0.2632272136138601
NAT.HAWAIIAN/OTH.PACIFIC ,0.0003039855936182,0.0663228471555604,0.06363978333705539,0.03464654546656346
I87,0.0003022954176247,0.24610640541386766,0.08562452154361987,0.18163537631337534
Q25,0.00030215955405,0.19356079357637246,-0.10245519366732883,0.10893354564258319
F31,0.0002981674792433,0.2766390558610982,0.2829750427968954,0.23204863485704202
F12,0.0002979015167381,0.15700439079094944,0.3156807207427184,0.2991324855843729
M51,0.0002973488481774,0.2487483504655549,0.31915230001043055,0.1262336705644655
O36,0.0002961465984829,0.06755616478744035,0.12047520600992115,0.12197582588885326
G45,0.0002956096962569,0.178920774768181,0.20085139817993022,0.20655868106375253
K44,0.0002930243935222,-0.2241027724614153,0.09327943232875337,0.15167851210426866
M21,0.0002874495555644,0.23204368180262883,0.22926924929606604,0.06511640488632763
I83,0.0002860343981083,-0.12598990039900473,0.08922472930811151,0.09941933291287275
K29,0.0002819367788906,0.21193908630934716,0.2331730781980126,0.23543953771958506
G62,0.0002800776955701,0.27416396780454033,0.22197221827508198,0.2987258592791857
T14,0.0002774123163844,0.05741106567879515,0.29246239883746905,0.1377642592551578
N25,0.0002761266431749,0.3788720816468856,0.35013180415001577,0.47097251283767033
O42,0.000273238484601,-0.10657063413568972,-0.1794334864292638,0.133538352775615
S02,0.0002714931113198,0.17227559779714285,0.14644682478163493,0.14378415294438504
C92,0.0002704784979171,0.09103636256768238,0.22380601309620715,0.24705029061026987
S62,0.0002696341607209,-0.19500930570155817,-0.1447443696957909,0.06182634895638482
D72,0.0002690003324404,0.42304000449452933,0.41010137826664894,0.39121513374174244
E88,0.0002678338783221,0.44174037836816216,0.3877849285616856,0.40438065974717957
R62,0.0002659586873751,0.3301528112376408,0.35088615521176597,0.26057280367685454
Q23,0.0002619277749746,-0.09142926709360252,0.15317024049320607,0.12732985088049278
O30,0.0002605853551763,-0.2551237664574468,-0.10784794319487145,0.07443175281247474
C56,0.0002564839831577,-0.1653343919579918,-0.11330273448374067,0.10092135631481872
C81,0.0002557812813911,0.25037337242021623,0.24173269136659845,0.19543535325579547
T81,0.0002555803712891,0.0995945636705029,0.05574070586045607,0.26423007833237877
J20,0.0002545961954023,0.39109664779344766,0.41335257765581385,0.41959569333154695
T82,0.0002541995344993,0.3121538228975569,0.22929869149695312,0.31050819300534793
Z90,0.0002512812026596,0.23711746688334628,0.16624515673461962,0.19341598736142454
K52,0.0002512404764595,0.12807954818988182,0.22763746728725348,0.16029215800840996
I33,0.0002504218771252,0.27041535888809626,0.4161701511680477,0.38188139487760253
K31,0.0002503256102613,0.33584380042877876,0.23868261632564547,0.28663137606131583
O47,0.0002502419813053,0.19128963086705741,0.23652856249504553,0.1698331608089195
G91,0.0002473774353287,0.07706918614014853,0.26958624477378373,0.140117252384182
Q22,0.0002466683809411,0.18975554301687148,-0.17013746338550167,0.13915773750606752
T83,0.0002457731904343,0.22837144807476972,0.2826062948172899,0.2705203264606746
Z02,0.0002454281674615,0.2856331340188337,0.22350717927292788,0.3681736521715193
R14,0.0002449877559162,0.46180199412162365,0.42510822957854855,0.33268781417378984
I07,0.0002426855179033,-0.05772455013151434,0.22274151082792315,0.19805754854221322
S01,0.0002423814273312,0.06181534902134069,-0.36092230214402704,0.07417804128971185
